Country,Continent,Cost of Living Index,Dominant Religious Belief,Expected years of schooling - Years,Freedom,Gender Inequality Index 2014,Gini coefficient 2005-2013,Government,Gross domestic product GDP percapta,Happiness.Rank,Happiness.Score,Internet users percentage of population 2014,Number of Records,Prison population per 100k people,Region,Trust..Government.Corruption.,Development Status
Albania,Europe,34.66,Muslim,11.82,0.38,0.22,28.96,Parliamentary Republic,10405.35,109,4.64,60.1,1,158,EASTERN EUROPE,0.04,Developing
Algeria,Africa,33.92,Muslim,13.97,0.23,0.41,38.82,Presidential Republic,12892.94,53,5.87,18.09,1,162,NORTHERN AFRICA,0.15,Developing
Angola,Africa,136.66,Catholic,11.39,0.00,0.41,42.66,Presidential Republic,7488.01,140,3.80,21.26,1,105,SUB-SAHARAN AFRICA,0.07,Underdeveloped
Argentina,South America,55.30,Catholic,17.95,0.49,0.38,43.57,Presidential Republic,22982.08,24,6.60,64.7,1,147,LATIN AMER. & CARIB,0.06,Developing
Armenia,Asia,34.56,Orthodox,12.32,0.20,0.32,30.30,Parliamentary Democracy,7526.84,121,4.38,46.3,1,164,C.W. OF IND. STATES,0.03,Developing
Australia,Oceania,80.16,Catholic,20.22,0.60,0.11,34.01,Parliamentary Democracy,42831.06,10,7.28,84.56,1,130,OCEANIA,0.30,Developed
Austria,Europe,70.70,Catholic,15.75,0.57,0.05,30.04,Parliamentary Republic,44375.79,13,7.01,81,1,98,WESTERN EUROPE,0.22,Developed
Azerbaijan,Asia,29.25,Muslim,11.94,0.40,0.30,33.03,Presidential Republic,16593.55,85,5.23,61,1,413,C.W. OF IND. STATES,0.18,Developing
Bahrain,Asia,53.90,Muslim,14.40,0.54,0.26,29.00,Constitutional Monarchy,42444.28,41,6.09,91,1,275,NEAR EAST,0.26,Developing
Bangladesh,Asia,36.29,Muslim,9.98,0.48,0.50,32.12,Parliamentary Republic,2853.45,110,4.61,9.6,1,42,ASIA (EX. NEAR EAST),0.12,Underdeveloped
Belarus,Europe,33.93,Orthodox,15.66,0.30,0.15,26.46,Dictatorship,17054.56,67,5.57,59.02,1,335,C.W. OF IND. STATES,0.16,Developing
Belgium,Europe,79.46,Catholic,16.33,0.54,0.06,33.14,Parliamentary Democracy,40607.26,17,6.89,85,1,108,WESTERN EUROPE,0.25,Developed
Botswana,Africa,37.58,Protestant,12.49,0.51,0.48,60.46,Parliamentary Republic,15246.61,142,3.77,18.5,1,205,SUB-SAHARAN AFRICA,0.10,Developing
Brazil,South America,50.13,Catholic,15.19,0.44,0.46,52.67,Presidential Republic,14555.08,22,6.64,57.6,1,274,LATIN AMER. & CARIB,0.11,Developing
